Row_ID,date,state,state_name,death,deathConfirmed,deathIncrease,hospitalizedCurrently,hospitalizedCumulative,hospitalizedIncrease,inIcuCurrently,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,negative,negativeIncrease,totalTestResults,totalTestResultsIncrease,totalTestsViral,totalTestsViralIncrease,totalTestsPeopleViral,totalTestsPeopleViralIncrease,recovered
00052,2020-02-09,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0
00053,2020-02-09,WA,Washington,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
00054,2020-02-10,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
00055,2020-02-10,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,12,1,0,0,0
00056,2020-02-10,WA,Washington,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
00057,2020-02-11,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0
00058,2020-02-11,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0
00059,2020-02-11,WA,Washington,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
00060,2020-02-12,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
00061,2020-02-12,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,13,1,0,0,0
00062,2020-02-12,WA,Washington,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
00063,2020-02-13,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0
00064,2020-02-13,MA,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0
00065,2020-02-13,WA,Washington,0,0,0,0,0,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0
