Acc_ID,Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
6274,2017S006192    ,Nou Barris,Ciutat Meridiana,Rasos de Peguera                                  ,Sunday,July,16,4,Night,0,0,0,4
6275,2017S002011    ,Nou Barris,la Guineueta,PG VERDUM / Valldemossa                           ,Sunday,March,12,14,Afternoon,2,0,2,2
6276,2017S000976    ,Nou Barris,Verdun,GUINEUETA                                         ,Sunday,February,5,17,Afternoon,1,0,1,2
6277,2017S010716    ,Nou Barris,la Trinitat Nova,Aiguablava / Sa Tuna                              ,Wednesday,December,27,19,Afternoon,1,0,1,2
6278,2017S001134    ,Nou Barris,la Trinitat Nova,AIGUABLAVA                                        ,Friday,February,10,16,Afternoon,1,0,1,1
6279,2017S008459    ,Nou Barris,la Guineueta,Valldaura / Esquirol Volador                      ,Saturday,October,14,10,Morning,1,0,1,2
6280,2017S001060    ,Nou Barris,la Guineueta,PG VALLDAURA                                      ,Wednesday,February,8,17,Afternoon,1,0,1,1
6281,2017S010194    ,Nou Barris,la Guineueta,Verdum                                            ,Friday,December,1,16,Afternoon,1,0,1,2
6282,2017S007119    ,Nou Barris,la Guineueta,Isard                                             ,Wednesday,August,16,10,Morning,1,0,1,4
6283,2017S004559    ,Nou Barris,la Guineueta,Valldaura                                         ,Tuesday,May,23,14,Afternoon,1,0,1,2
6284,2017S009203    ,Nou Barris,les Roquetes,FavÃ¨ncia / Jaume Pinent                           ,Tuesday,November,7,15,Afternoon,1,0,1,1
6285,2017S003600    ,Nou Barris,la Trinitat Nova,S'AgarÃ³ / Platja d'Aro                            ,Friday,April,21,21,Afternoon,1,0,1,2
6286,2017S005736    ,Nou Barris,la Trinitat Nova,FavÃ¨ncia / PalamÃ³s                                ,Saturday,July,1,22,Night,1,0,1,2
6287,2017S001885    ,Nou Barris,les Roquetes,RDA DALT (BESÃ’S)                                  ,Wednesday,March,8,1,Night,0,0,0,1
6288,2017S004835    ,Nou Barris,la Trinitat Nova,Aiguablava                                        ,Thursday,June,1,20,Afternoon,2,0,2,2
6289,2017S001902    ,Nou Barris,la Trinitat Nova,AV MERIDIANA                                      ,Wednesday,March,8,18,Afternoon,1,0,1,3
6290,2017S000441    ,Nou Barris,la Trinitat Nova,PLATJA D'ARO / Av Meridiana                       ,Tuesday,January,17,10,Morning,1,0,1,2
6291,2017S008131    ,Nou Barris,la Trinitat Nova,Aiguablava                                        ,Monday,October,2,19,Afternoon,1,0,1,2
6292,2017S000599    ,Nou Barris,les Roquetes,VIDAL I GUASCH / Pla de Fornells                  ,Monday,January,23,9,Morning,1,0,1,2
6293,2017S003852    ,Nou Barris,la Trinitat Nova,Meridiana                                         ,Monday,May,1,1,Night,3,0,3,2
6294,2017S000934    ,Nou Barris,la Trinitat Nova,VIA FAVÃˆNCIA / S'AgarÃ³                            ,Friday,February,3,15,Afternoon,1,0,1,2
6295,2017S001650    ,Nou Barris,la Trinitat Nova,RDA DALT(LLOBREGAT                                ,Tuesday,February,28,15,Afternoon,1,0,1,2
6296,2017S006426    ,Nou Barris,la Prosperitat,B-20 (BesÃ²s)                                      ,Sunday,July,23,10,Morning,1,0,1,2
6297,2017S009125    ,Nou Barris,la Prosperitat,Dalt (BesÃ²s)                                      ,Saturday,November,4,18,Afternoon,2,0,2,4
6298,2017S005204    ,Nou Barris,Vilapicina i la Torre Llobeta,Palmeres                                          ,Wednesday,June,14,8,Morning,0,0,0,1
6299,2017S000455    ,Nou Barris,la Prosperitat,VIA FAVÃˆNCIA                                      ,Tuesday,January,17,12,Morning,1,0,1,1
6300,2017S009123    ,Nou Barris,la Prosperitat,FavÃ¨ncia / Aiguablava                             ,Saturday,November,4,19,Afternoon,1,0,1,2
6301,2017S008061    ,Nou Barris,la Prosperitat,FavÃ¨ncia / JÃºlia                                  ,Friday,September,29,20,Afternoon,1,0,1,2
6302,2017S008050    ,Nou Barris,la Prosperitat,Dalt (BesÃ²s)                                      ,Friday,September,29,17,Afternoon,2,0,2,2
6303,2017S002442    ,Nou Barris,la Prosperitat,VIA FAVÃˆNCIA                                      ,Monday,March,27,10,Morning,1,0,1,3
6304,2017S006034    ,Nou Barris,la Prosperitat,Florida                                           ,Tuesday,July,11,17,Afternoon,1,0,1,2
6305,2017S007663    ,Nou Barris,Verdun,Joan Riera                                        ,Saturday,September,16,8,Morning,1,0,1,1
6306,2017S004540    ,Nou Barris,Verdun,Artesania                                         ,Monday,May,22,17,Afternoon,1,0,1,1
6307,2017S004334    ,Nou Barris,Verdun,JÃºlia                                             ,Tuesday,May,16,7,Morning,1,0,1,2
6308,2017S004305    ,Nou Barris,Verdun,JÃºlia                                             ,Monday,May,15,10,Morning,3,0,3,2
6309,2017S007649    ,Nou Barris,Verdun,Artesania                                         ,Friday,September,15,20,Afternoon,1,0,1,2
6310,2017S008686    ,Nou Barris,Porta,Arnau d'Oms                                       ,Friday,October,20,20,Afternoon,1,0,1,2
6311,2017S003938    ,Nou Barris,Porta,Meridiana / Fabra i Puig                          ,Wednesday,May,3,23,Night,1,0,1,1
6312,2017S003253    ,Nou Barris,Porta,Meridiana / Fabra i Puig                          ,Saturday,April,8,19,Afternoon,1,0,1,2
6313,2017S010666    ,Nou Barris,Porta,Doctor Pi i Molist / Alloza                       ,Tuesday,December,26,12,Morning,1,0,1,2
6314,2017S004135    ,Nou Barris,Porta,escultor ordoÃ±ez / Valldemossa                    ,Tuesday,May,9,22,Night,1,0,1,2
6315,2017S003614    ,Nou Barris,Vilapicina i la Torre Llobeta,Riera d'Horta                                     ,Saturday,April,22,19,Afternoon,1,0,1,1
6316,2017S002569    ,Nou Barris,Vilapicina i la Torre Llobeta,PG FABRA I PUIG / Arnau d'Oms                     ,Friday,March,31,8,Morning,3,0,3,3
6317,2017S002359    ,Nou Barris,Porta,AV MERIDIANA                                      ,Friday,March,24,11,Morning,2,0,2,2
6318,2017S008740    ,Nou Barris,Porta,Rio de Janeiro / VÃ¨lia                            ,Sunday,October,22,19,Afternoon,1,0,1,1
6319,2017S001634    ,Nou Barris,Porta,PG FABRA I PUIG                                   ,Tuesday,February,28,8,Morning,1,0,1,3
6320,2017S009659    ,Nou Barris,Vilapicina i la Torre Llobeta,BorbÃ³                                             ,Tuesday,November,21,10,Morning,1,0,1,1
6321,2017S007702    ,Nou Barris,Vilapicina i la Torre Llobeta,Arnau d'Oms                                       ,Sunday,September,17,15,Afternoon,1,0,1,1
